,Cleaned Data
0,sprightly romance marsac project gutenberg media print abbr project gutenberg ebook sprightly romance marsac ebook use anyone anywhere unite state part world cost almost restrictions whatsoever
1,may copy give away reuse term project gutenberg license include ebook online www locate unite state check laws country locate use ebook
2,title sprightly romance marsac author molly elliot seawell illustrator gustave verbeek release date february 27 2025 ebook language english original publication new york charles scribners sons 1896 credit online distribute proofread team httpswww file produce image generously make available internet archive start project gutenberg ebook sprightly romance marsac extravagant bread ask marsac cheerfully work away old screen
3,sprightly romance marsac molly elliot seawell author children destiny strange sad comedy throckmorton little jarvis etc
4,illustrate gustave verbeek new york charles scribners sons 1897 copyright 1896 charles scribners sons
5,dramatic right reserve
6,university press john wilson son cambridge
7,note
8,sprightly romance marsac obtain first prize 3000 best novelette new york herald competition 1895
9,pg ix list illustrations page extravagant bread ask marsac cheerfully work away old screen frontispiece madame schmid plainly rage 2 madame schmid grow still redder face shorter breath 5 easy enough see master mind 9 madame fleury enter 17 ever think marriage way trouble 25 marsac advance fontaine whisper ear 37 marsac take hand lead madame fleury 39 bold stroke bullfighter assume appearance hale old gentleman sixty 48 pg x fell chair amazement chagrin 50 two young men tear open box 53 hug begin dance wildly 56 dont speak fiance disrespectful manner cry marsac 65 open without word take four bottle champagne 67 saw two poor creatures stand front pastryshop 68 marsac receive much kindness respect bankers daughters 75 madame schmid make dash fontaine collar drag 77 villa say old brewer 83 monsieur duval kneel 89 monsieur duval close one eye playfully poke rib 93 door open admit fontaine two remarkably pretty girls 97 pg xi young people talk gaily together sip champagne 100 hundred thirty thousand francs cry maurepas 108 marsac turn double handspring sofa 110 marsac seize around waist begin waltz furiously 113 creep softly apartment 115 bring delphines golden quite close marsacs brown one consent willingly 121 oh madame fleury cry marsac actually hang 129 madame fleury press handkerchief eye 132 marsac could scarcely restrain shout joy 137 madame fleury begin eagerly search grind letter 139 marsac say tear paper half fontaine dear claire 143 monsieur duvals victoria madame fleury 145 pg xii fontaine sink deep armchair picture misery 149 little old man clutch rusty travellingbag tremble hand 151 let assist say fontaine try take old bag 159 marsac delphine leave alone 161 madame fleury stand petrify moment 175 thing trust say fontaine 177 walk one weazened cadaverous little men ever step 180 madame fleury rush drag unhappy fleury 188 marsac arm around delphines waist 194 pg xiii sprightly romance marsac pg 1 sprightly romance marsac1 1 dramatic right reserve
10,chapter madame schmid round red spotless lappets washerwomans cap flap angrily plainly rage three loud whack give garret door 17 rue montignal cause two young gentlemen side door quake visibly
11,one fontaine run incontinently closet hide marsac ghastly pretence joke madame schmids whack sound like three give comdie franaise curtain go stalkedpg 2 dignity corridor door
12,madame schmid bounce suddenly marsac suddenly whisk sight
13,madame schmid coarse buxom beauty common enough class
14,one year elect queen washerwomen picturesque festival peculiar paris say fear stout arm robust tongue share election
15,good heart along vile temper plant basket viciously floor whip tremendously long bill quick eye take poverty surroundings soften spite
16,however one whistle go graveyard madamepg 3 schmid always storm excellent heart prevent take stronger measure
17,room excessively shabby
18,motheaten sofa large rickety cover newspapers implement journalists trade principal article furniture
19,light gray day shine dully curtainless windows
20,number pip together crack mirror ornament mantel scatter room violin case easel paint materials
