,Cleaned Data
0,the sprightly romance of marsac project gutenberg media print  abbr  the project gutenberg ebook of the sprightly romance of marsac this ebook is for the use of anyone anywhere in the united states and most other parts of the world at no cost and with almost no restrictions whatsoever
1,you may copy it give it away or reuse it under the terms of the project gutenberg license included with this ebook or online at www if you are not located in the united states you will have to check the laws of the country where you are located before using this ebook
2,title the sprightly romance of marsac author molly elliot seawell illustrator gustave verbeek release date february 27 2025 ebook language english original publication new york charles scribners sons 1896 credits the online distributed proofreading team at httpswww this file was produced from images generously made available by the internet archive  start of the project gutenberg ebook the sprightly romance of marsac  why were you so extravagant about bread asked marsac very cheerfully working away at the old screen
3,the sprightly romance of marsac by molly elliot seawell author of children of destiny a strange sad comedy throckmorton little jarvis etc
4,illustrated by gustave verbeek new york charles scribners sons 1897 copyright 1896 by charles scribners sons
5,dramatic and all other rights reserved
6,university press john wilson and son cambridge
7,note
8,the sprightly romance of marsac obtained the first prize of 3000 for the best novelette in the new york herald competition in 1895
9,pg ix list of illustrations page why were you so extravagant about bread asked marsac very cheerfully working away at the old screen frontispiece madame schmid was plainly in rage 2 madame schmid grew still redder in the face and shorter of breath 5 it was easy enough to see who was the master mind 9 madame fleury entered 17 have you ever thought of marriage as way out of your troubles 25 marsac advancing to fontaine whispered in his ear 37 marsac taking his hand led him to madame fleury 39 with few bold strokes the bullfighter assumed the appearance of hale old gentleman of sixty 48 pg x he fell over on his chair with amazement and chagrin 50 the two young men tore open the box 53 they hugged each other and began to dance wildly 56 dont speak of your fiance in that disrespectful manner cried marsac 65 he opened it without word and took out four bottles of champagne 67 i saw these two poor creatures standing in front of pastryshop 68 marsac received them with as much kindness and respect as if they had been bankers daughters 75 madame schmid made dash for fontaine whom she collared and dragged out 77 and now about the villa said the old brewer 83 monsieur duval knelt down 89 monsieur duval closing one eye playfully poked him in the ribs 93 the door opened admitting fontaine and two remarkably pretty girls 97 pg xi the young people talked gaily together while sipping champagne 100 a hundred and thirty thousand francs cried maurepas 108 marsac turned double handspring over the sofa 110 marsac seizing her around the waist began to waltz furiously 113 they crept softly out of their apartment 115 as it brought delphines golden quite close to marsacs brown one she consented willingly 121 oh madame fleury cried marsac actually hanging his 129 madame fleury pressed handkerchief to her eyes 132 marsac could scarcely restrain shout of joy 137 madame fleury began eagerly searching on the ground for the letter 139 here marsac said tearing the paper is half of it for you fontaine and dear claire 143 monsieur duvals victoria with madame fleury in it 145 pg xii fontaine sunk in deep armchair was picture of misery 149 he was little old man clutching rusty travellingbag in his trembling hands 151 let me assist you said fontaine trying to take the old bag 159 marsac and delphine were now left alone 161 madame fleury stood petrified for moment 175 the only thing for you to do now is to trust me said fontaine 177 in walked one of the most weazened cadaverous little men who ever stepped 180 madame fleury rushed out dragging the unhappy fleury after her 188 marsac with his arm around delphines waist 194 pg xiii the sprightly romance of marsac pg 1 the sprightly romance of marsac1 1 dramatic and all other rights reserved
