,Cleaned Data
0, sprightly romance  marsac project gutenberg media print abbr  project gutenberg ebook   sprightly romance  marsac  ebook    use  anyone anywhere   united states    parts   world   cost   almost  restrictions whatsoever
1, may copy  give  away  reuse    terms   project gutenberg license included   ebook  online  www     located   united states     check  laws   country    located  using  ebook
2,title  sprightly romance  marsac author molly elliot seawell illustrator gustave verbeek release date february 27 2025 ebook language english original publication new york charles scribners sons 1896 credits  online distributed proofreading team  httpswww  file  produced  images generously made available   internet archive start   project gutenberg ebook  sprightly romance  marsac     extravagant  bread asked marsac  cheerfully working away   old screen
3, sprightly romance  marsac  molly elliot seawell author  children  destiny  strange sad comedy throckmorton little jarvis etc
4,illustrated  gustave verbeek new york charles scribners sons 1897 copyright 1896  charles scribners sons
5,dramatic    rights reserved
6,university press john wilson  son cambridge
7,note
8, sprightly romance  marsac obtained  first prize  3000   best novelette   new york herald competition  1895
9,pg ix list  illustrations page     extravagant  bread asked marsac  cheerfully working away   old screen frontispiece madame schmid  plainly  rage 2 madame schmid grew still redder   face  shorter  breath 5   easy enough  see    master mind 9 madame fleury entered 17   ever thought  marriage  way    troubles 25 marsac advancing  fontaine whispered   ear 37 marsac taking  hand led   madame fleury 39   bold strokes  bullfighter assumed  appearance  hale old gentleman  sixty 48 pg x  fell    chair  amazement  chagrin 50  two young men tore open  box 53  hugged    began  dance wildly 56 dont speak   fiance   disrespectful manner cried marsac 65  opened  without word  took  four bottles  champagne 67  saw  two poor creatures standing  front  pastryshop 68 marsac received    much kindness  respect      bankers daughters 75 madame schmid made dash  fontaine   collared  dragged  77     villa said  old brewer 83 monsieur duval knelt  89 monsieur duval closing one eye playfully poked    ribs 93  door opened admitting fontaine  two remarkably pretty girls 97 pg xi  young people talked gaily together  sipping champagne 100  hundred  thirty thousand francs cried maurepas 108 marsac turned double handspring   sofa 110 marsac seizing  around  waist began  waltz furiously 113  crept softly    apartment 115   brought delphines golden quite close  marsacs brown one  consented willingly 121 oh madame fleury cried marsac actually hanging  129 madame fleury pressed handkerchief   eyes 132 marsac could scarcely restrain shout  joy 137 madame fleury began eagerly searching   ground   letter 139  marsac said tearing  paper  half     fontaine  dear claire 143 monsieur duvals victoria  madame fleury   145 pg xii fontaine sunk  deep armchair  picture  misery 149   little old man clutching rusty travellingbag   trembling hands 151 let  assist  said fontaine trying  take  old bag 159 marsac  delphine   left alone 161 madame fleury stood petrified  moment 175   thing        trust  said fontaine 177  walked one    weazened cadaverous little men  ever stepped 180 madame fleury rushed  dragging  unhappy fleury   188 marsac   arm around delphines waist 194 pg xiii  sprightly romance  marsac pg 1  sprightly romance  marsac1 1 dramatic    rights reserved
10,chapter  madame schmid round  red   spotless lappets   washerwomans cap flapping angrily  plainly  rage   three loud whacks  gave   garret door  17 rue montignal caused two young gentlemen    side   door  quake visibly
11,one   fontaine ran incontinently  closet  hid  marsac    ghastly pretence  joke  madame schmids whacks sounding like  three given   comdie franaise   curtain goes  stalkedpg 2  dignity  corridor door
12, madame schmid bouncing  suddenly marsac  suddenly whisked   sight
13,madame schmid    coarse buxom beauty common enough   class
14,  one year  elected queen   washerwomen   picturesque festival peculiar  paris     said  fear   stout arm  robust tongue   share   election
15,   good heart along   vile temper    planted  basket viciously   floor  whipped  tremendously long bill  quick eye took   poverty   surroundings    softened  spite  
16,however  one whistles going  graveyard  madamepg 3 schmid always stormed     excellent heart prevented   taking stronger measures
17, room  excessively shabby
18, motheaten sofa  large  rickety covered  newspapers   implements   journalists trade   principal articles  furniture
19, light  gray day shone dully    curtainless windows
20, number  pipes together  cracked mirror ornamented  mantel  scattered   room  violin  case  easel  painting materials
21,madame schmid belonged   large class  persons  believe  man  engages   form  art  necessarily loafer
22, sight   painters tools  violin  especially  abundance  pens ink  paper acted   like red rag  bull  gave   excuse  wanted  raise tempest
23,first  exclaimed scornfully pg 4 painters next  scornfully still fiddlers  last  concentration  contempt  would  made  fortune   theatre  paris journalists   began  bawl  voice like  auctioneer msieu marsac
24,msieu fontaine
25,oh  know   somewhere 
26,   old dodge running away   come   bill
27, owe      seven weeks washing
28,seven weeks   rubbed  scrubbed       seen  colour   money yet madame schmid stopped  moment  take breath   noticing  door leading   corridor darted    began  tug vigorously   knob
29, marsac   holding     side  madame schmids superior  muscle though   weight   doorpg 5 resisted successfully
30,  marched    closet door  fontaine followed marsacs tactics  madame schmid grew still redder   face  shorter  breath   better luck    corridor door
31,  moment  welldressed little man entered  room   almost imperceptible knock  unrolling bill  yard long began gentlemen   little bill    raising  eyes  said  surprised voice   arent  gentlemen    gentlemen pay  bills monsieur landais answered madame schmid sarcastically  recognised  old acquaintance  monsieur landais
32,madame schmid   good obedient alsatian husband    talked  death  years  andpg 6 landais   late lamented schmid     town
33,landais silently held   bill  madame schmid flourished    face   air   landais owed  money instead  marsac  fontaine
34,journalists  bad lot   tell  rapidly began madame schmid  liked    first  well   last word  lazy lot 
35,    work   living   arms   legs monsieur marsac   pretty boy fontaine  nothing  sit   easychair  write  day long
36,  call  work   wish  could sit   easychair  amuse   pen  day instead  toiling  cuttingboard answered  tailor ruefully
37,painting  fiddling     scribblingno wonder  cant pay  washbills
38, dare say  think washing   elegant amusement 7 im sure  dont know  ill ever get  money
39,writing  letters  sinful waste  paper  ink  calling  see   sinful waste  time
40, marsac always makes  laugh  spite  
41, last time  saw   put   determined air  little landais assumed fierce look  asked    bill    paid
42, told     monsieur fontaine threw   bills  basket  every six months  drew one   random  paid  billand   happened   never drawn  bill
43,  wretched joke   made  laugh   assure   first thing  knew   asking  fellow     chum wanted anything   tailoring line   chucks    chin  tells  im  young  handsome ill  getting marriedpg 8    like   turn fool  laugh  pouf
44,goes  bill moaned madame schmid wagging  dolefully  landais shook  like chinese mandarin
45, said landais wearily    climbing    stairs  god knows answered madame schmid
46,     time  waste    ill leave  bill  go    said landais   laid  bills   rickety  went  madame schmid clacking angrily   way downstairs
47, minute  disappeared fontaine slipped    closet  locked  door  
48,  handsome fairhaired fellow  fiveandtwenty    winning air   world    plain   first glance     grace  intelligence   man   led   affections
49,pg 9  wish   drawbridge outside  door  muttered   began  rummage   room
50, wonder  marsacs purse   continued  
51,ah   isand  two francs five centimes     shoemaker wants three francs  halfsoling marsacs shoes    began  call  marsac meanwhile going   empty form  searching    pockets
52, moment marsac entered  room
53,  easy enough  see    master mind 
54,marsac    regularly handsome  fontaine   dark bright eyes  captivating smile seemed  radiate brilliance  round 
55,  first moment  seeing  two young men together    necessary  explain  relationspg 10   
56,fontaine could  look  marsac without  almost feminine expression  fondness  tender reliance coming   eyes    bottom   heart  thought marsac   brilliant capable  lovable  men
57,marsac   part could  look  speak  fontaine without showing  affection   elder  younger brother
58,   schoolmates ten years   provincial college
59,  first moment   meeting  loved  
60,fontaine    best blood   province    neither father  mother  brother  sister   near relative living
61,  one   hearts  must love something   could  help loving marsac tall lithe boy older    quite able  fight fontaines battles  well   
62,marsac like fontaine  fatherless  motherless
63,  educated frompg 11 fund   sons  poor gentlemen   recipient  expected  return    able
64, taking   honours   classes   graduated   highest distinction marsac went  paris along  fontaine   seek  fortunes  journalism
65, soon got work   made precious little money
66,marsac inspired   one idea sent every franc  made back   fund  repaid  sum advanced   astonishingly short time
67,     cost  getting  debt   sides
68,neither    chum   commercial knack  intimate knowledge   purchasing power  franc  comes naturally  young men whose lives   spent  large city
69,marsac   buoyant temper  constantly expected something  turn   would relieve     embarrassments
70,meanwhile confident   honesty   intentions  met  debts dunspg 12  difficulties   incomparable archness  goodhumour
71, fontaine asked   franc   shoes  reply   franc
72,  think   complete counterfeiting apparatus    produce  sum  franc  moments notice  said fontaine ruefully  would willingly  given   pair  shoes  marsac would  accept   dont know     
73, shoemaker said three francs   shoes     two francs five centimes
74,  already spent enough     bought new pairnew vamps  december new uppers  january    february new soles go along   cried marsac
75,tell  shoemaker   bad case  confluent smallpox   dare say    glad  let    shoes  nothing
76, give   pastepot
77, friends madamepg 13 schmid  monsieur landais  left us souvenirs    put  use   began deftly cutting  bills    stout paper  square pieces  mend  screen   like everything else   room  holes  
78,  afraid  smallpox story wont  judicious subterfuge  fontaines reply
79,      eleven francs   yesterday  bought four bottles  wine box  cigars  two loaves  bread       extravagant  bread asked marsac  cheerfully working away   old screen
80,  squander  substance  luxuries like bread  shant  anything left  necessaries like wine  cigars
81, fact   continued  man enters journalism  ought    education suitable   profession
82,instead ofpg 14 going   university     taught  shoemaking  tailoring trades
83, often   heard   learning comes amiss  journalism
84,      rudimentary knowledge  cobbling  could  mended  shoes    events said fontaine brushing  hat   rather glad      way       day  hour  madame fleury always appears  ask   rent  cried marsac   first time showing impatience    trying  two weeks  forget  day  rent  due    succeeded   reminded   
