,Cleaned Data
0,"The sprightly romance of Marsac Project Gutenberg @media print , abbr[ ] The Project Gutenberg eBook of The sprightly romance of Marsac This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever."
1,"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this ebook or online at www If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook."
2,"Title: The sprightly romance of Marsac Author: Molly Elliot Seawell Illustrator: Gustave Verbeek Release date: February 27, 2025 [eBook Language: English Original publication: New York: Charles Scribner's Sons, 1896 Credits: The Online Distributed Proofreading Team at https://www (This file was produced from images generously made available by The Internet Archive) *** START OF THE PROJECT GUTENBERG EBOOK THE SPRIGHTLY ROMANCE OF MARSAC *** “Why were you so extravagant about bread?” asked Marsac, very cheerfully working away at the old screen."
3,"THE SPRIGHTLY ROMANCE OF MARSAC BY MOLLY ELLIOT SEAWELL AUTHOR OF “CHILDREN OF DESTINY,” “A STRANGE SAD COMEDY,” “THROCKMORTON,” “LITTLE JARVIS,” ETC."
4,"Illustrated by GUSTAVE VERBEEK NEW YORK CHARLES SCRIBNER’S SONS 1897 Copyright, 1896, By Charles Scribner’s Sons."
5,Dramatic and all other rights reserved.
6,"University Press: John Wilson and Son, Cambridge."
7,NOTE.
8,"“The Sprightly Romance of Marsac” obtained the first prize of $3,000 for the best novelette in the New York Herald competition in 1895."
9,"[Pg ix] List of Illustrations Page “Why were you so extravagant about bread?” asked Marsac, very cheerfully, working away at the old screen Frontispiece Madame Schmid was plainly in rage 2 Madame Schmid grew still redder in the face and shorter of breath 5 It was easy enough to see who was the master mind 9 Madame Fleury entered 17 “Have you ever thought of marriage as way out of your troubles?” 25 Marsac, advancing to Fontaine, whispered in his ear 37 Marsac, taking his hand, led him to Madame Fleury 39 With few bold strokes the bull-fighter assumed the appearance of hale old gentleman of sixty 48 [Pg x] He fell over on his chair with amazement and chagrin 50 The two young men tore open the box 53 They hugged each other and began to dance wildly 56 “Don’t speak of your fiancée in that disrespectful manner,” cried Marsac 65 He opened it without word and took out four bottles of champagne 67 I saw these two poor creatures standing in front of pastry-shop 68 Marsac received them with as much kindness and respect as if they had been banker’s daughters 75 Madame Schmid made dash for Fontaine, whom she collared and dragged out 77 “And now about the villa,” said the old brewer 83 Monsieur Duval knelt down 89 Monsieur Duval, closing one eye, playfully poked him in the ribs 93 The door opened, admitting Fontaine and two remarkably pretty girls 97 [Pg xi] The young people talked gaily together while sipping champagne 100 “A hundred and thirty thousand francs!” cried Maurepas 108 Marsac turned double handspring over the sofa 110 Marsac, seizing her around the waist, began to waltz furiously 113 They crept softly out of their apartment 115 As it brought Delphine’s golden quite close to Marsac’s brown one, she consented willingly 121 “Oh, Madame Fleury!” cried Marsac, actually hanging his 129 Madame Fleury pressed handkerchief to her eyes 132 Marsac could scarcely restrain shout of joy 137 Madame Fleury began eagerly searching on the ground for the letter 139 “Here,” Marsac said, tearing the paper, “is half of it for you, Fontaine, and dear Claire” 143 Monsieur Duval’s victoria, with Madame Fleury in it 145 [Pg xii] Fontaine, sunk in deep armchair, was picture of misery 149 He was little old man clutching rusty travelling-bag in his trembling hands 151 “Let me assist you,” said Fontaine, trying to take the old bag 159 Marsac and Delphine were now left alone 161 Madame Fleury stood petrified for moment 175 “The only thing for you to do now is to trust me,” said Fontaine 177 In walked one of the most weazened, cadaverous little men who ever stepped 180 Madame Fleury rushed out, dragging the unhappy Fleury after her 188 Marsac with his arm around Delphine’s waist 194 [Pg xiii] THE SPRIGHTLY ROMANCE OF MARSAC [Pg 1] The Sprightly Romance of Marsac[1] [1] Dramatic and all other rights reserved."
