,Query,Top-1,Top-2,Top-3,Top-4,Top-5
0,take glass champagneyou like afraid say marsac pour glass,madame schmid one rapid glance champagne utter one word thieve make dash fontaine collar drag,show lady say marsac assume calmness time take another glass champagne steady nerve,monsieur duval offer madame fleury glass champagne two sit together rustic bench marsacpg 131 overcome chagrin chance give enemy turn back walk toward edge terrace,cant honeyfuggle gurgle gurgle gurgle champagne flow throat,see go day two think perhaps ill trifle mere trifle answer marsac much readiness littlepg 18 dinner ministerial housethose fellows give one lot champagneand inherit gout give touch pray excuse slippers
1,marsac look window prospect make chiefly chimneypots fine small rain begin fall first time realise truly desperate situation,american money soon part next moment fontaine believe last greatest misfortunes befall friend marsac leap begin charge room shout top lungs,plain distress aboutpg 160 something delphines first word great trouble bright us either gloomily reply marsac,spite efforts marsac pretty soon give hilarious view situation,peculiar penetrate although agitate unpleasant love idiot alarm say marsac anxiously,meanwhile catastrophe indicate first meet marsac delphine fall violent manner
2,late,ah,particular get one,must,say,say
3,grade society bind conventionalities quite will go anywhere good meal,know near live relative noble fellow engage marry daughter owner house lovely girl mademoiselle claire duval old man seat precious bag knees drink eagerly marsacs every word,unfortunately recover prospect seem brightest speech journalists dinner greatest effort myi mean fontaines life sign article make sensation ah yes many night satpg 125 writingthat read article,friends madamepg 13 schmid monsieur landais leave us souvenirs put use begin deftly cut bill stout paper square piece mend screen like everything else room hole,explain go traditions family engage trade immensely successful forgive,make excuse send waiter room hug begin dance wildly barely time return scuttle back chair pull long face devour fish flesh fowl entres horsdoeuvres everything else eatable
4,silence really one deep emotion naturally misunderstand delphine,bring horrible charge print nobody appear surprise public indifference seem take grant worst true,cry delphine almost beside jealousy,delphine stitch silent anger disappointment,sweet girl though believe confession alter affection least,marsac completely unnerve manage hide delphine
5,marsac almost drag corridor door fight like tiger marsac assure would forever destroy young handsome woman like find apartment,terrible dnouement wreck havoc make old man disappointment touch marsac one best hearts world,clear idea mind frantic fury towards women present day foresee would make bad quarter hour undergo common enough men future,marsac saw moment madame fleury would much rather kill marry speak cold dignity make feel like mouse exhaust airreceiver,would marry monsieur marsac commit suicide even rather live house delphine scarcely conscious say gleam wicked amusement madame fleurys eye show make dangerous slip,marsac habitually run away respectable women declare afraid another kind nothing pity pg 68 refine honourable soul leave harder hearts evil natures condemnation sin sin
6,tell say hesitatingly house monsieur duval would find nephew monsieur auguste fontaine,like proposition shall meet monsieur duval,monsieur duval comtesse de fleury come fontaine,monsieur fontaine gift young fellow say monsieur duval,may appear moment meet affectionate uncle maurice fontaine,appear public tomorrowyou heir uncle maurice friend nephew uncle think deceive waiter anxiously ask fontaine
7,old duval read account uncle maurice childlike faith declare auguste begin believe old fellow,uncle maurice charm reception get fontaine immediately begin joke claire,draw noble picture uncle mauricefor look fontaine profit old gentleman least give good character,suppose real uncle maurice come walk fine daywhat would say say good morning monsieur fontaine delight see,course delight see unclepardon mebut man age know better monsieur duval interrupt madame fleury age one greatest charm eye yet coolly continue delphine monsieur fontaines youth objection,fontaine receive modestly marsac eulogise uncle maurice point goodness indicate every feature portrait hang wall
8,one morning marsac happen go monsieur duvals quite earlyfor upon intimate term househe find fontaine sit alone little drawingroom communicate conservatory overlook tree fountains luxembourg garden,tree luxembourg garden rustle softly day make love,tell would see monsieur duval today forget,merely little family affairs people always know pg 83 make old duval less anxious name day next week marsac fontaine elaborate consultation notebooks finally find could accept,go fetch fontaine marsac go conservatory,forget tomorrow dine prince next day marshal day archbishop duval little stagger magnificent name remark think tell today monsieur fontaine go society account mourn coolly respond marsac
9,marsac look carefully around see quite unobserved take pocket copy plato read delphine give book vicious kick send spin end terrace,regard primitive somewhat unintelligent arrangement effect word lips woman see sixty second produce strange effect marsac,afar dark illumine wax candle look like firefly marsac read plato aloud assent lips contradiction heart,picture hadnt deuced good speech hadnt devilish funny play hadnt damnably brightah hell furies fontaine roll chair anguish marsac sit silent appal result ingenuity,presently monsieur duval hear call monsieur marsac marsac plato become wellnigh intolerable lay book vicious slam walk end terrace almost sight hear,delphine carry volume plato oriflamme battle ask marsac read something great philosopher
10,besides fear seriously effect deception might upon claire find outwhich must sometime,ever know wildly improbable story start yet wasnt readily believe,think delphine ask claire hand still lie fontainesthis foolish boy fortune know time dare tell,afraid smallpox story wont judicious subterfuge fontaines reply,pg 123 monsieur duval sigh fidget burst know afraidi afraid blame let daughter monsieur fontaine see much matter still uncertain comtesse de fleury see two young people deeply love,claire wretched idea although timid girl dare question father every reason suspect hispg 147 infatuation widow come near wreck fontaines life
11,2001 project gutenberg literary archive foundation create provide secure permanent future project gutenberg future generations,contributions project gutenberg literary archive foundation tax deductible full extent permit u federal laws state laws,additional term link project gutenberg license work post permission copyright holder find begin work,1 project gutenberg literary archive foundation foundation pglaf own compilation copyright collection project gutenberg electronic work,lot things project gutenberg electronic work follow term agreement help preserve free future access project gutenberg electronic work,volunteer financial support provide volunteer assistance need critical reach project gutenbergs goals ensure project gutenberg collection remain freely available generations come
12,dear kind old chap,intend nephew provide receive kindly,credit though thank admirable uncle maurice good supper home say warm fill,clever fellow,good boy,good lad good fellow
13,depart husband angel,marsac take almanac begin turn leave,forget tomorrow dine prince next day marshal day archbishop duval little stagger magnificent name remark think tell today monsieur fontaine go society account mourn coolly respond marsac,swear never take alive madame fleury blush smile murmur men marry dont,intend nephew provide receive kindly,one day king disoblige fly pg 96 passion
14,general information project gutenberg electronic work professor michael,lot things project gutenberg electronic work follow term agreement help preserve free future access project gutenberg electronic work,course hope support project gutenberg mission promote free access electronic work freely share project gutenberg work compliance term agreement keep project gutenberg name associate work,1 unlink detach remove full project gutenberg license term work file contain part work work associate project gutenberg,1 project gutenberg literary archive foundation foundation pglaf own compilation copyright collection project gutenberg electronic work,information mission project gutenberg project gutenberg synonymous free distribution electronic work format readable widest variety computers include obsolete old middleaged new computers
15,often hear learn come amiss journalism,unfortunately recover prospect seem brightest speech journalists dinner greatest effort myi mean fontaines life sign article make sensation ah yes many night satpg 125 writingthat read article,journalists bad lot tell rapidly begin madame schmid like first well last word lazy lot,talkedabout young man paris name worth something newspaper even ideas,fact continue man enter journalism ought education suitable profession,speak valuable paper take passy even
16,auguste say old man look poor friendless cheery glad get back france dear kind monsieur marsac good old man make auguste kind,credit though thank admirable uncle maurice good supper home say warm fill,draw noble picture uncle mauricefor look fontaine profit old gentleman least give good character,marsac declare felt like go mourn grateful uncle maurice do fontaine fontaine perfect truth say think hispg 102 uncle maurice relative world,fontaine extremely honestpg 148 simple nature suffer agonies false reputation embarrass manner sickly smile receive compliment achievements take modesty pass therefore modest well gift young man paris,well glad old uncle cut handsomely monsieur maurepas say marsac severely beg least respect fontaines mourn attire
17,havent pg 154 single hand hold yet since land wave pity sweep marsac,picture hadnt deuced good speech hadnt devilish funny play hadnt damnably brightah hell furies fontaine roll chair anguish marsac sit silent appal result ingenuity,think poorest memory ever saw say marsac severely fontaine,hear roundabout way dead nothing leave anybody likely sigh marsac,let catch old duvali dont like go search himcried marsac give account willpg 65 throw daughter,nothing leave marsac newspaper fontaine drop
18,pg 141 never mind letter say madame fleury brilliant smile clutch precious scrap gloved hand laugh,shall nice shall make papa claire dearest heart world burst delphine generously forget misery love respect care whether auguste fortune talents answer claire proudly fortune,madame fleury marsacs embarrassment lose although new woman still woman womanly pride impel control slight tremor nerve say voice studiedly cold mere matter business convenience pg 31 give marsac think loophole escape say hurriedly madame innocence regard marriage matter sentiment imagine chagrin though madame fleury smile blush like girl reply well monsieur marsac marsac saw moment pit dig prefer play part poltroon step,delight see daughter niece answer madame fleury smile,madame schmid marsacs delightful impudence way honest heart come great service,charm simplicity inability take care dear little self win upon pg 133 weak whisper madame fleury squeeze hand
19,madame fleury pretend stumble nearly knock deftly secure halfburned scrap,rudimentary knowledge cobble could mend shoe events say fontaine brush hat rather glad way day hour madame fleury always appear ask rent cry marsac first time show impatience try two weeks forget day rent due succeed remind,cannot deny marsac fontaine little frighten sudden overpower success little romance,madame fleury whose principle get quickly awkward business ask marsac sit write little agreement sign fontaine,vexatious lose letter say madame fleury,would mention fear fontaine soon madame fleury safely hear marsac contrive raise burst rather hollow hysterical laughter
20,huzza,hurrah,hurrah,hurrah,hurrah,hurrah
21,pg 78 oh pretty boy scream povertychampagne oyster give party cant pay washbill,dare say hear false report dead answer marsac put mourn go society several weeks pg 155 seem overjoy poor old man,villain scoundrel dolt rascal idiot expletives hurl greatest greeks,wonder much afraid women say fontaine courage ask two poor creatures even pleasure kind actionforpg 75 nothing give much pleasure pooh reply marsac,tell slip conciergethey minutesand go get wine flower make little feast poor souls fontaine better worse nights work marsac best fellow ever live cry fontaine hug,terrible dnouement wreck havoc make old man disappointment touch marsac one best hearts world
22,women carry hysterics every performance,women know much real courage men,msieu marsac say almost laugh marsacs gloomy face heres person lady please proclaim loud voice madame schmid march shove footman unceremoniously way,brilliant idea come 32 glance madame fleury saw well felt rage rise heart,young lady jealous ask madame schmid delightedly,two girls burst hysterical tear
23,pg 66 one night six weeks uncle maurices advent fontaine garret wait marsac return,rate cant us harm nothing harm us present straits well people believe uncle maurice begin fontaine anxiously marsac cut short,fontaine always hug marsac marsac always respond pat father give small boy,perhaps dont know say madame fleury uncle maurice stop somewhat precipitate flight toward door marsac start story give fontaine fortune thenha,youwhat name may ask marsacand service well monsieur marsac since kind tell nephew,marsac leave presence hours labour explanations slightest certainty whether believe uncle maurice
24,carriage report duval party rise go two young men reiterate promise dine saturday passy old duval say course kind come us engagements marshal dukes princes significant look marsac title people want keep long range pg 103 especially prince de landais baroness schmid boldly respond marsac,im washerwoman ladies gentlemen implore marsac explain future day fact remain monsieur fleury old duvals face study begin stammer iidont think marry madame hopelessness situationpg 183 plain madame fleury,know im old enough father youll marry madame fleury youll find great improvement rascally count marry first may madame duval day like faint shriek burst two girls fontaine dream old man capable folly couldnt repress exclamation 177 however take claires hand say tenderly well dear one thing trust become wife earliest moment possible claire felt moment one earthly dependence cling fontaine weep say marry whenever like cannot never countenance father marriage creature even would marry escape live woman say delphine much agitation,monsieur fontaine oblige tell porter direct wait awhile case quite ready go monsieur duval object get fontaine way moment door close upon draw chair marsacs begin seriously mop forehead anxiety know monsieur marsac always think extremely well monsieur fontaine come snug fortune mind heif daughter herepg 86 monsieur duval wink marsac grin appreciatively,know near live relative noble fellow engage marry daughter owner house lovely girl mademoiselle claire duval old man seat precious bag knees drink eagerly marsacs every word,say grin survey scene minute two quite certain madame carry plan perfectly certain respond monsieur duval pompously find good old duval better husband rascally count marry first bury afterward bury ask marsac pause get whole effect
25,come rustle draperies conservatory claire flit fontaine,monsieur duval comtesse de fleury come fontaine,one fontaine run incontinently closet hide marsac ghastly pretence joke madame schmids whack sound like three give comdie franaise curtain go stalkedpg 2 dignity corridor door,bonnet set grace coronet,madame fleury reach weep stage,effect sell monsieur fontaine reply monsieur duval go downstairs
26,fool sell villa make monsieur maurepaspg 109 promise mention price monsieur duval,would marry monsieur marsac commit suicide even rather live house delphine scarcely conscious say gleam wicked amusement madame fleurys eye show make dangerous slip,monsieur duval offer madame fleury glass champagne two sit together rustic bench marsacpg 131 overcome chagrin chance give enemy turn back walk toward edge terrace,terrible claire succeed capture monsieur duval pg 164 delphines answer artfully contrive dreadful woman succeed marry uncle could longer home opportunity marsac declare spark tenderness,wayhere marsac put mouth old duvals earshe come apartment pursuit,old duval persist motive ridiculously clear every word daughter fond melun placemy daughter could scarcely persuade leave even finer house passy marsac urge apparently unwilling fontaine accept offer mention several countesses duchesses princesses acquaintance think buy place melun
27,pg 51 chapter ii marsac return within three hours confront fontaine pale face uncle maurices letter,seem report uncle maurices death come one start story newspapers fortune andpg 170 auguste nerve contradict,damn uncle maurice almost shout fontaine bury pillow great chair,uncle maurice shout marsac caper wildly,youwhat name may ask marsacand service well monsieur marsac since kind tell nephew,marsac leave presence hours labour explanations slightest certainty whether believe uncle maurice
28,number pip together crack mirror ornament mantel scatter room violin case easel paint materials,last dead night creep softly apartment leave note address madame fleury enclose full amount indebtedness steal downstairsmarsac violin case fontaine uncle maurices portraitthey gain streetpg 116 run satan,ah cry monsieur duval delight show know something violins stradivarius perhaps dear sir say marsac tone pity violin old stradivarius young,paint fiddle scribblingno wonder cant pay washbills,madame fleury perfect mistress art coquetry apply elderly gentlemen,sight painters tool violin especially abundance pen ink paper act like red rag bull give excuse want raise tempest
29,want every confidence mademoiselle would need kill immediately ceremony counsel marsac,trust get fontaine delight find marsac crazy could nothing hug say marsac frighten begin talk may kill uncles aunts find kill,would marry monsieur marsac commit suicide even rather live house delphine scarcely conscious say gleam wicked amusement madame fleurys eye show make dangerous slip,mademoisellei implore marsac get far delphine slam door face,mademoiselle claire announce willingness marry monsieur fontaine mademoiselle delphine take occasion say would marry monsieur marsac commit suicideeach terrible alternative,madame fleury say fontaine determinedly put hound long intend 176 shall today report police ask protection instead fly rage madame fleury execute masterly coup
30,marsac saw advisability prepare monsieur maurice fontaine state affairs must presently find,send name fontaine aristocratic marsac,would well tell monsieur duval fontaine get large advance,marsac know turn thoughts take say slyly meet old duval today fontaine jump shoot,fontaine rally enough run window call marsac back,ill take make one condition dear fellow say marsac earnestly fontaine
31,easy enough see master mind,good lad good fellow,perfectly,good boy,clever fellow,business arrangement pure simple
32,wonder marsacs purse continue,marsac confirm declare get particulars amount fortune,reply marsac enthusiasm,marsac see keep,mirror keep marsac pursue advantage,marsac whose cheerfulness never leave
33,ispg 28 good good bad intolerable,tenderness amount adoration marsacthe ready witty glib daringwas silent abash presence masterpassion,bring horrible charge print nobody appear surprise public indifference seem take grant worst true,sour temper,true reply marsac sorrowfully,monsieur fleury bad
34,fontaine claire uncle maurice monsieur duval laugh uproariously gaze two apostles platonic love relentless enemies matrimonymarsac arm round delphines waist handsome almost touch bright hair,know near live relative noble fellow engage marry daughter owner house lovely girl mademoiselle claire duval old man seat precious bag knees drink eagerly marsacs every word,course delight see unclepardon mebut man age know better monsieur duval interrupt madame fleury age one greatest charm eye yet coolly continue delphine monsieur fontaines youth objection,endow every virtue man gentleman seem clairvoyant uncle maurice laugh excessivelypg 188 hand smaller roll old bag marsac say well would like nephew less kind nephew less obligation hundred thousand francs mere nestegg,one look happy face tell uncle maurices fortune make love affair,fellow clever always make way world marsac overwhelm old man generosity silence stand grasp uncle maurices hand break slam door madame fleury rush drag unhappy fleury
35,perhaps widow might make exchange take mean,think madame say pause reflection could accomplish,baroness schmid baroness schmid,acknowledge say regard widow affair sortpg 92 person reckon tell shoulder,would like horse try play fiddle oh well need mind widow,help marsac bad grace present widow
36,alas,let get away,dont know glad see,rubbish,ill forget,nonsense
